PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103163913,176155,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,Unspecified,,,,Residual Activity,=,130,%
2,103164548,5284616,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,Unspecified,,,,Residual Activity,=,82,%
3,103165289,2048,CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3,Unspecified,,,,Residual Activity,=,100,%
4,103165727,5330548,CCCC(=O)OC1=CC2=C(C=C1)NC(=C2)C(=O)C3=CC4=CC=CC=C4N3,Unspecified,,,,Residual Activity,=,79,%
5,103165746,2399,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,Unspecified,,,,Residual Activity,=,96,%
6,103165753,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,Unspecified,,,,Residual Activity,=,91,%
7,103166240,6711154,C1=CC(=CC=C1NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=C(C=C4)F)F,Unspecified,,,,Residual Activity,=,78,%
8,103166322,2051,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,Unspecified,,,,Residual Activity,=,100,%
9,103175627,5329103,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C,Unspecified,,,,Residual Activity,=,101,%
10,103175684,5329098,CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C,Unspecified,,,,Residual Activity,=,95,%
11,103176356,5164,C1CNCCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F,Unspecified,,,,Residual Activity,=,81,%
12,103181324,5169,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,Unspecified,,,,Residual Activity,=,100,%
13,103181420,4712,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],Unspecified,,,,Residual Activity,=,61,%
14,103181634,5162,CCC1=C(N=C(N1)C2=CC=C(C=C2)OC)C3=CC=NC=C3,Unspecified,,,,Residual Activity,=,91,%
15,103186466,5494425,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,Unspecified,,,,Residual Activity,=,75,%
16,103192480,456214,CC(C)[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl,Unspecified,,,,Residual Activity,=,95,%
17,103192672,6604931,CC(C)[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC(=C3)N)Cl,Unspecified,,,,Residual Activity,=,98,%
18,103192812,4124851,CN1C(=O)N(C(=O)S1)CC2=CC=CC=C2,Unspecified,,,,Residual Activity,=,77,%
19,103196011,5312126,CN([C@@H](CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7,Unspecified,,,,Residual Activity,=,110,%
20,103196306,3035817,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O,Unspecified,,,,Residual Activity,=,49,%
21,103209846,5174,CC1=NC(=C(O1)C2=CC=NC=C2)C3=CC=CC=C3,Unspecified,,,,Residual Activity,=,116,%
22,103209904,4713,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2,Unspecified,,,,Residual Activity,=,104,%
23,103210437,3547,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,Unspecified,,,,Residual Activity,=,121,%
24,103214687,6539732,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,Unspecified,,,,Residual Activity,=,82,%
